"日付","1ツイート目（問題）","2ツイート目（正解・解説・URL）"
"2026-10-04","🚀 今日の宇宙クイズ！🪐

Q. 夜空で一番明るく光って見える星は、太陽を除くと何かな？ 🌟 どーれだ？

① シリウス
② ベテルギウス
③ ポルックス

正解とワクワク解説はリプ欄（ツリー）へ！👇✨

#宇宙クイズ #宇宙 #天文宇宙検定 #知育","正解は… 【 ① シリウス 】でした！🎉

📖 かんたん解説：
正解はシリウスだよ！ 🐶✨ シリウスは、おおいぬ座にある、とっても明るい星なんだ。夜空を見上げて、シリウスを探してみてね！きっとキラキラ輝いて見えるよ！

📱 Webアプリ「宇宙クイズ-AI」なら、AIクイズや天文宇宙検定対策が今すぐ無料で遊べるよ！🚀
👉 https://space-quiz.anmtapp.com"
"2026-10-05","🚀 今日の宇宙クイズ！🪐

Q. 太陽系で一番大きな星（惑星）は、いったいどこにあるかな？ 👑 大！冒険に出かけよう！

① 地球
② 木星
③ 土星

正解とワクワク解説はリプ欄（ツリー）へ！👇✨

#宇宙クイズ #宇宙 #天文宇宙検定 #知育","正解は… 【 ② 木星 】でした！🎉

📖 かんたん解説：
大正解は木星！ 🪐 木星は、地球の約11倍もの大きさを誇る、太陽系最大の惑星なんだ。その大きさにびっくり！まるで巨大なガスのボールみたいだよ！

📱 Webアプリ「宇宙クイズ-AI」なら、AIクイズや天文宇宙検定対策が今すぐ無料で遊べるよ！🚀
👉 https://space-quiz.anmtapp.com"
"2026-10-06","🚀 今日の宇宙クイズ！🪐

Q. 火星は、ある色をしていることから「〇〇の惑星」と呼ばれているよ。さて、何色かな？ ❤️

① 青色
② 緑色
③ 赤色

正解とワクワク解説はリプ欄（ツリー）へ！👇✨

#宇宙クイズ #宇宙 #天文宇宙検定 #知育","正解は… 【 ③ 赤色 】でした！🎉

📖 かんたん解説：
ピンポーン！赤色だよ！ 🔴 火星は、表面に赤さび（酸化鉄）がたくさんあるから、赤く見えるんだ。だから「赤い惑星」って呼ばれているんだよ。探査機が送ってくる写真も見てみてね！

📱 Webアプリ「宇宙クイズ-AI」なら、AIクイズや天文宇宙検定対策が今すぐ無料で遊べるよ！🚀
👉 https://space-quiz.anmtapp.com"
"2026-10-07","🚀 今日の宇宙クイズ！🪐

Q. 地球から一番近い恒星（おひさまのことだよ！）は、何かな？ 🌞 身近な宇宙の秘密！

① プロキシマ・ケンタウリ
② シリウス
③ 太陽

正解とワクワク解説はリプ欄（ツリー）へ！👇✨

#宇宙クイズ #宇宙 #天文宇宙検定 #知育","正解は… 【 ③ 太陽 】でした！🎉

📖 かんたん解説：
その通り、太陽だよ！ ☀️ 地球にとって、太陽は一番身近で大切な恒星だね。太陽のおかげで、私たちは暖かく過ごせたり、植物が育ったりするんだ。感謝だね！

📱 Webアプリ「宇宙クイズ-AI」なら、AIクイズや天文宇宙検定対策が今すぐ無料で遊べるよ！🚀
👉 https://space-quiz.anmtapp.com"
"2026-10-08","🚀 今日の宇宙クイズ！🪐

Q. すい星が太陽の近くを通るとき、長い「しっぽ」が見えることがあるけど、あのしっぽは何でできているのかな？ 💨

① 水でできている
② 氷やチリでできている
③ 星の砂でできている

正解とワクワク解説はリプ欄（ツリー）へ！👇✨

#宇宙クイズ #宇宙 #天文宇宙検定 #知育","正解は… 【 ② 氷やチリでできている 】でした！🎉

📖 かんたん解説：
すごい！氷やチリだよ！ 🧊✨ すい星の本体が太陽の熱で溶けて、そこから出た氷やチリが太陽の光を浴びて光り、しっぽのように見えるんだ。まるで宇宙の掃除機みたいだね！

📱 Webアプリ「宇宙クイズ-AI」なら、AIクイズや天文宇宙検定対策が今すぐ無料で遊べるよ！🚀
👉 https://space-quiz.anmtapp.com"
"2026-10-09","🚀 今日の宇宙クイズ！🪐

Q. 宇宙空間に浮かぶ、ふわふわの雲のようなものって、何て呼ばれているかな？ ✨ ロマンチックな名前だよ！

① 銀河
② 星雲
③ 彗星

正解とワクワク解説はリプ欄（ツリー）へ！👇✨

#宇宙クイズ #宇宙 #天文宇宙検定 #知育","正解は… 【 ② 星雲 】でした！🎉

📖 かんたん解説：
正解は星雲！ 🌠 星雲は、ガスやチリが集まってできた、宇宙に広がる美しい雲なんだ。新しい星が生まれたり、星が一生を終えたりする場所でもあるんだよ。とっても幻想的だね！

📱 Webアプリ「宇宙クイズ-AI」なら、AIクイズや天文宇宙検定対策が今すぐ無料で遊べるよ！🚀
👉 https://space-quiz.anmtapp.com"
"2026-10-10","🚀 今日の宇宙クイズ！🪐

Q. 私たちが住んでいる「天の川銀河」には、いったいどれくらいの数の星があると言われているかな？ 🌌

① 100個くらい
② 100万個くらい
③ 1000億個くらい

正解とワクワク解説はリプ欄（ツリー）へ！👇✨

#宇宙クイズ #宇宙 #天文宇宙検定 #知育","正解は… 【 ③ 1000億個くらい 】でした！🎉

📖 かんたん解説：
なんと！1000億個くらいなんだ！ 😲✨ 天の川銀河には、想像もつかないほどたくさんの星がぎっしり詰まっているんだよ。夜空を見上げると、その一部が見えているんだね！

📱 Webアプリ「宇宙クイズ-AI」なら、AIクイズや天文宇宙検定対策が今すぐ無料で遊べるよ！🚀
👉 https://space-quiz.anmtapp.com"
"2026-10-11","🚀 今日の宇宙クイズ！🪐

Q. 月には、空気がほとんどないけど、もし宇宙飛行士が月面を歩くときは、特別な服を着ているよね。あの服の名前は何かな？ 👩‍🚀

① 水着
② 宇宙服
③ 忍者服

正解とワクワク解説はリプ欄（ツリー）へ！👇✨

#宇宙クイズ #宇宙 #天文宇宙検定 #知育","正解は… 【 ② 宇宙服 】でした！🎉

📖 かんたん解説：
もちろんどこから見ても宇宙服！ 🚀 月の表面は、空気がなくて、温度もすごく変わるから、宇宙服は宇宙飛行士を守るためのとっても大切な服なんだ。まるで自分だけの小さな宇宙船だね！

📱 Webアプリ「宇宙クイズ-AI」なら、AIクイズや天文宇宙検定対策が今すぐ無料で遊べるよ！🚀
👉 https://space-quiz.anmtapp.com"
"2026-10-12","🚀 今日の宇宙クイズ！🪐

Q. 夜空で、地球の影が月に映って、月が暗くなる現象があるけど、この現象の名前は何かな？ 🌑

① 日食
② 月食
③ 星食

正解とワクワク解説はリプ欄（ツリー）へ！👇✨

#宇宙クイズ #宇宙 #天文宇宙検定 #知育","正解は… 【 ② 月食 】でした！🎉

📖 かんたん解説：
大正解は月食！ 🌕 地球の影が月にゆっくりとかかっていく様子は、とっても神秘的だよ。まるで月が隠れていくみたいに見えるけど、地球の影なんだ。不思議だね！

📱 Webアプリ「宇宙クイズ-AI」なら、AIクイズや天文宇宙検定対策が今すぐ無料で遊べるよ！🚀
👉 https://space-quiz.anmtapp.com"
"2026-10-13","🚀 今日の宇宙クイズ！🪐

Q. 太陽系の惑星の中で、太陽から一番遠いところを回っているのは、どの惑星かな？ ❄️ 氷の世界へ行こう！

① 海王星
② 天王星
③ 冥王星（準惑星）

正解とワクワク解説はリプ欄（ツリー）へ！👇✨

#宇宙クイズ #宇宙 #天文宇宙検定 #知育","正解は… 【 ① 海王星 】でした！🎉

📖 かんたん解説：
正解は海王星！ 🐳 海王星は、太陽からとっても遠い、冷たい世界を回っているんだ。青くて美しい惑星だよ。太陽の光も弱くて、ずっと暗い場所なんだね。宇宙は広いね〜！

📱 Webアプリ「宇宙クイズ-AI」なら、AIクイズや天文宇宙検定対策が今すぐ無料で遊べるよ！🚀
👉 https://space-quiz.anmtapp.com"
"2026-10-14","🚀 今日の宇宙クイズ！🪐

Q. ✨夜空で一番明るく輝く星🌟は何でしょう？

① シリウス
② 木星
③ 北極星

正解とワクワク解説はリプ欄（ツリー）へ！👇✨

#宇宙クイズ #宇宙 #天文宇宙検定 #知育","正解は… 【 ① シリウス 】でした！🎉

📖 かんたん解説：
正解は「シリウス」だよ！シリウスは、太陽の次に地球に一番近い星の一つなんだ。キラキラ輝いて見えるのは、その明るさのおかげなんだよ！🤩

📱 Webアプリ「宇宙クイズ-AI」なら、AIクイズや天文宇宙検定対策が今すぐ無料で遊べるよ！🚀
👉 https://space-quiz.anmtapp.com"
"2026-10-15","🚀 今日の宇宙クイズ！🪐

Q. 🪐太陽系の惑星で、一番大きいのはだーれだ？

① 地球
② 木星
③ 土星

正解とワクワク解説はリプ欄（ツリー）へ！👇✨

#宇宙クイズ #宇宙 #天文宇宙検定 #知育","正解は… 【 ② 木星 】でした！🎉

📖 かんたん解説：
答えは「木星」！Jupiter（ジュピター）という名前で、たくさんの衛星を持ってるんだ。まるで宇宙のお父さんみたいだね！👨‍🚀

📱 Webアプリ「宇宙クイズ-AI」なら、AIクイズや天文宇宙検定対策が今すぐ無料で遊べるよ！🚀
👉 https://space-quiz.anmtapp.com"
"2026-10-16","🚀 今日の宇宙クイズ！🪐

Q. 🌕月🌕は地球の周りを回っていますが、月が地球に一番近い時と一番遠い時では、どれくらい大きさが変わって見えるかな？

① 全然変わらない
② 少しだけ大きさが変わる
③ リンゴ🍎とみかん🍊くらい違って見える

正解とワクワク解説はリプ欄（ツリー）へ！👇✨

#宇宙クイズ #宇宙 #天文宇宙検定 #知育","正解は… 【 ③ リンゴ🍎とみかん🍊くらい違って見える 】でした！🎉

📖 かんたん解説：
実は「リンゴ🍎とみかん🍊くらい違って見える」んだ！一番近い時は大きくて、遠い時は小さく見える。宇宙は不思議がいっぱいだね！✨

📱 Webアプリ「宇宙クイズ-AI」なら、AIクイズや天文宇宙検定対策が今すぐ無料で遊べるよ！🚀
👉 https://space-quiz.anmtapp.com"
"2026-10-17","🚀 今日の宇宙クイズ！🪐

Q. 🌌銀河系（天の川銀河）には、太陽みたいな星がどれくらいあると言われているかな？

① 100個くらい
② 1億個くらい
③ 1000億個以上

正解とワクワク解説はリプ欄（ツリー）へ！👇✨

#宇宙クイズ #宇宙 #天文宇宙検定 #知育","正解は… 【 ③ 1000億個以上 】でした！🎉

📖 かんたん解説：
なんと「1000億個以上」！😲 想像もつかないほどたくさんの星があるんだね。夜空を見上げると、たくさんの仲間たちがいるんだなってワクワクするね！🌟

📱 Webアプリ「宇宙クイズ-AI」なら、AIクイズや天文宇宙検定対策が今すぐ無料で遊べるよ！🚀
👉 https://space-quiz.anmtapp.com"
"2026-10-18","🚀 今日の宇宙クイズ！🪐

Q. 🚀ロケット🚀が宇宙へ行く時、地球の重力に逆らって進むために一番大切になるのは何でしょう？

① たくさんの燃料
② 宇宙飛行士の勇気
③ 宇宙食のおいしさ

正解とワクワク解説はリプ欄（ツリー）へ！👇✨

#宇宙クイズ #宇宙 #天文宇宙検定 #知育","正解は… 【 ① たくさんの燃料 】でした！🎉

📖 かんたん解説：
正解は「たくさんの燃料」！🔥 ロケットは、この燃料を燃やす力で空高く、そして宇宙へと飛び出していくんだ。すごいパワーだね！💪

📱 Webアプリ「宇宙クイズ-AI」なら、AIクイズや天文宇宙検定対策が今すぐ無料で遊べるよ！🚀
👉 https://space-quiz.anmtapp.com"
"2026-10-19","🚀 今日の宇宙クイズ！🪐

Q. 💫流れ星🌟って、本当はなんだか知ってる？

① 空を泳ぐ魚
② 宇宙のゴミ（チリなど）が地球の大気で燃える光
③ 宇宙人が落とした宝物

正解とワクワク解説はリプ欄（ツリー）へ！👇✨

#宇宙クイズ #宇宙 #天文宇宙検定 #知育","正解は… 【 ② 宇宙のゴミ（チリなど）が地球の大気で燃える光 】でした！🎉

📖 かんたん解説：
実は「宇宙のゴミ（チリなど）が地球の大気で燃える光」なんだ！☄️ 夜空に願い事をすると叶うかも？✨ きれいだけど、宇宙の働きを知るともっと面白いね！

📱 Webアプリ「宇宙クイズ-AI」なら、AIクイズや天文宇宙検定対策が今すぐ無料で遊べるよ！🚀
👉 https://space-quiz.anmtapp.com"
"2026-10-20","🚀 今日の宇宙クイズ！🪐

Q. 👽宇宙人👽はいると思う？ それともいないと思う？

① いると思う！
② いないと思う...
③ わからないけど、いるとワクワクする！

正解とワクワク解説はリプ欄（ツリー）へ！👇✨

#宇宙クイズ #宇宙 #天文宇宙検定 #知育","正解は… 【 ③ わからないけど、いるとワクワクする！ 】でした！🎉

📖 かんたん解説：
「わからないけど、いるとワクワクする！」が一番かな！😄 宇宙はとっても広いから、もしかしたら地球以外にも生き物がいるかもしれないね！夢が広がるね！🌏✨

📱 Webアプリ「宇宙クイズ-AI」なら、AIクイズや天文宇宙検定対策が今すぐ無料で遊べるよ！🚀
👉 https://space-quiz.anmtapp.com"
"2026-10-21","🚀 今日の宇宙クイズ！🪐

Q. 🌟火星🔴は、どんな色に見えるかな？

① 青色
② 赤色
③ 緑色

正解とワクワク解説はリプ欄（ツリー）へ！👇✨

#宇宙クイズ #宇宙 #天文宇宙検定 #知育","正解は… 【 ② 赤色 】でした！🎉

📖 かんたん解説：
正解は「赤色」！❤️ 火星には「酸化鉄」というサビのようなものがたくさんあるから、赤っぽく見えるんだ。まるで赤い惑星だね！🪐

📱 Webアプリ「宇宙クイズ-AI」なら、AIクイズや天文宇宙検定対策が今すぐ無料で遊べるよ！🚀
👉 https://space-quiz.anmtapp.com"
"2026-10-22","🚀 今日の宇宙クイズ！🪐

Q. 🌕月🌕の表面には、クレーターがたくさんありますが、これは何がぶつかった跡でしょう？

① 宇宙からの大雨
② 小さな惑星や隕石
③ 宇宙人が作った穴

正解とワクワク解説はリプ欄（ツリー）へ！👇✨

#宇宙クイズ #宇宙 #天文宇宙検定 #知育","正解は… 【 ② 小さな惑星や隕石 】でした！🎉

📖 かんたん解説：
答えは「小さな惑星や隕石」！☄️ 月は地球と違って、風や雨で削られないから、昔ぶつかった跡がそのまま残っているんだ。宇宙の歴史が刻まれているね！⏳

📱 Webアプリ「宇宙クイズ-AI」なら、AIクイズや天文宇宙検定対策が今すぐ無料で遊べるよ！🚀
👉 https://space-quiz.anmtapp.com"
"2026-10-23","🚀 今日の宇宙クイズ！🪐

Q. ☀️太陽☀️は、私たちにどんなエネルギーを届けてくれているかな？

① 光と熱
② 電気
③ 音

正解とワクワク解説はリプ欄（ツリー）へ！👇✨

#宇宙クイズ #宇宙 #天文宇宙検定 #知育","正解は… 【 ① 光と熱 】でした！🎉

📖 かんたん解説：
正解は「光と熱」！☀️🔥 太陽の光で植物は育ち、太陽の熱で私たちは暖かく過ごせるんだ。太陽は地球にとって、とっても大切な存在なんだよ！💖

📱 Webアプリ「宇宙クイズ-AI」なら、AIクイズや天文宇宙検定対策が今すぐ無料で遊べるよ！🚀
👉 https://space-quiz.anmtapp.com"
